,building_type,total_area_of_buildings,num_of_buildings,num_of_floors,num_of_resdnts_units,num_of_units,condo?,coop?,primary_fuel,boiler_capacity,total_consumption_gallons,boiler_install_date
2102,Walk-Up Apartments,27500.0,1.0,5.0,31.0,31.0, , ,#4,2.32,22000.0,1989
2103,Walk-Up Apartments,26235.0,1.0,6.0,27.0,27.0, , ,#4,2.32,22000.0,1988
2104,Elevator Apartments,46440.0,1.0,6.0,42.0,42.0, , ,#6,3.43,22000.0,1988
2105,Office Buildings,48640.0,1.0,5.0,38.0,38.0, , ,#4,3.4,22000.0,1986
2106,Elevator Apartments,61872.0,1.0,6.0,45.0,50.0, , ,#4,4.1,22000.0,1988
2107,Elevator Apartments,44000.0,1.0,6.0,49.0,49.0, , ,#4,3.7,22000.0,1985
2108,Elevator Apartments,13150.0,1.0,5.0,18.0,20.0, , ,#4,2.77,22000.0,1990
2109,Elevator Apartments,33000.0,1.0,5.0,30.0,30.0, , ,#4,2.23,22000.0,1988
2110,Walk-Up Apartments,46500.0,2.0,5.0,42.0,42.0, , ,#6,3.2,22000.0,1969
2111,Walk-Up Apartments,45934.0,1.0,6.0,42.0,42.0, , ,#4,3.4,22000.0,1988
2112,Warehouses,25200.0,1.0,6.0,26.0,29.0, , ,#4,2.32,22000.0,1987
2113,Walk-Up Apartments,42732.0,1.0,6.0,44.0,44.0, , ,#4,2.77,21900.0,1997
2114,Office Buildings,20196.0,1.0,6.0,32.0,32.0, , ,#6,2.1,21900.0,1970
2115,Elevator Apartments,24920.0,1.0,5.0,25.0,25.0, , ,#4,2.0,21900.0,1985
2116,Elevator Apartments,23850.0,2.0,5.0,32.0,32.0, , ,#4,2.1,21900.0,1968
2117,Office Buildings,27000.0,1.0,6.0,23.0,27.0, , ,#4,2.59,21900.0,1985
2118,Office Buildings,32000.0,1.0,6.0,30.0,30.0, , ,#4,2.6,21900.0,1989
2119,Loft Buildings,36540.0,1.0,6.0,37.0,37.0, , ,#4,2.6,21681.0,2008
2120,Hospitals & Health,47820.0,1.0,6.0,39.0,42.0, , ,#4,2.3,21681.0,2008
2121,Walk-Up Apartments,37000.0,1.0,5.0,39.0,39.0, , ,#4,2.77,21681.0,1997
2122,Elevator Apartments,38627.0,1.0,6.0,37.0,37.0, , ,#4,2.77,21681.0,1995
2123,Loft Buildings,31875.0,1.0,5.0,33.0,33.0, , ,#4,2.77,21681.0,1995
2124,Elevator Apartments,41400.0,1.0,6.0,42.0,42.0, , ,#4,2.77,21681.0,1994
2125,Educational Structures,32820.0,1.0,5.0,35.0,35.0, , ,#4,2.3,21681.0,2006
2126,Walk-Up Apartments,32480.0,1.0,6.0,35.0,35.0, , ,#4,2.94,21680.0,2001
